Comment,label
ঘরে বসে শুট করতে কেমন লেগেছে? ক্যামেরাতে কে ছিলেন?,Notbully
"অরে বাবা, এই টা কোন পাগল????",Notbully
ক্যাপ্টেন অফ বাংলাদেশ,Notbully
অন্যরকম .. ভালো লাগলো ..❤️,Notbully
মোহাম্মদ কফিল উদ্দীন মাহমুদRidwan RomelDwaipayan PaulEku ChowdhuryKamrul HasanJony Jony,Notbully
"হিরো আলম তুমি এগিয়ে চলো, আমরা আছি তোমার সাথে।",Notbully
জয় বাংলা।জয় বঙ্গবন্ধু।,Notbully
রমজান মাসে এমনে ও নিরব থাকা দরকার। সেই সুবাধে কিছু বললাম না।,Notbully
ওই সবাই চুপ।অসভ্যের দল।তোমরা জাননা মিথিলে আমাকে কানে কানে বলে গেছে ওর নিচে এখন লকডাউন।।,Notbully
"আজকেই জানলাম, অরেন্জ, গ্রেইপ্স একটি ভেজিটেবল",Notbully
বাহ! প্রথমে তো চিনতেই পারিনি,Notbully
বিবাহ করিতে চাইনা এবং angels দেখেছি। বাকিগুলিও দেখব। loved your works Tahsan Khan bhai,Notbully
হক কথা । সাবাস ।,Notbully
শ্রদ্ধেয় ড. কামাল হোসেন সাহেব আর যাই হোক একজন শিবির কর্মী আর আরেকজন উশৃংখল ও টাকা পাচারকারীর পক্ষ অবলম্বন করে ভাবমূর্তি খোয়ালেন!,Notbully
"এই ম্যাচটা আসলেই দুর্দান্ত ছিলো।অনেক কাঠ-খর পুড়িয়ে এই ম্যাচ দেখতে গিয়েছিলাম ট্রিনিদাদ এন্ড টোবাগো-তে।আমি যখন মাঠে ঢুকি, সেই মুহুর্তেই দেখলাম ম্যাশের বলে শেহবাগ আউট!আর ব্যাটিঙ্গে তো জহীর খান-কে ডাউন দ্য উইকেটে এসে তামিমের ৬ মারা এখনো চোখে লেগে আছে।সেই ম্যাচের টিকিটের ছবিhttps://www.facebook.com/photo/?fbid=7230670249&set=a.7230480249ম্যাচের মুহুর্তhttps://www.facebook.com/photo/?fbid=7230735249&set=a.7230480249ম্যাচের পরের দিন মুশফিকের সাথে ছবিhttps://www.facebook.com/photo/?fbid=7230930249&set=a.7230805249",Notbully
পরোক্ষ হুমকী???,Notbully
কি লেখা আছে সেইটা না পইড়াই সবাই তেলের সাগরে ভাসায় দিতাছে.. ভাইসব আগে পড়েন অই লিনকে কি লেখা আছে তারপর তেল মাইরেন,Notbully
করোনা যুদ্ধের প্রথম শহীদ !,Notbully
বিশ্বকাপ জয়ের মাধ্যমেই এই বৃত্ত পূর্ণ হবে ইনশাআল্লাহ !,Notbully
ওর চোখের মনিতে গোল গোল ঐটা কি ? কন্ট্রাক লেন্স ?,Notbully
মাশআল্লাহ,Notbully
খুব সাহসের সাথে সরল সত্যটি উচ্চারণ করেছেন বলে আপনাকে অনেক অনেক ধন্যবাদ।,Notbully
কি সাকিব ভাই ইনডাইরেক্ট থ্রেট দিলেন মনে হয়?! কেউ কিছু বলছে আপনারে নিয়া?!,Notbully
শুভ কামনা নিরন্তর।,Notbully
আলহামদুলিল্লাহ। এ সজীবতা নিয়ে সুস্থ্য ও নিরাপদে থাকুন এ দোয়া করি।,Notbully
আলহামদুলিল্লাহ।,Notbully
"আমি বুঝলাম না যে DW (বাংলা ভাষা) এর সাংবাদিকতা এতো poor ও নিম্নমানের কেন? Asif সাহেব কি সবজান্তা শমসের যে আমাদের তাঁকে question জিজ্ঞেস করতে হবে? বরং Asif সাহেব প্রশ্ন করুক এবং যারা সুন্দরভাবে answer দিতে পারে, তারা answer দিক। DW (বাংলা ভাষা) এই conversation এর moderator হতে পারে। এই idea আসে না কেন আপনাদের মাথায় যে QA টা both side থেকে হলে fair হয়। তারপরেও দেখি কিছু প্রশ্ন করি, after all, DW (বাংলা ভাষা) এর কাছ থেকে মনে হয় unbiased সাংবাদিকতা আশা করা বোকামি।",Notbully
ভক্তদের ভালবাসায় মাশরাফি ভাই ২০২৩ বিশ্বকাপ পর্যন্ত খেলে যাবেন এই প্রত্যাশা...,Notbully
হা হা হা,Notbully
জাতীয় বিপ্লব ও সংহতি দিবস?????,Notbully
ছবি তুলে পোষ্ট করা ছাড়া আর কোন কাম কাজ নাই!,Notbully
সাহস সবার থাকেনা। নিজের মতামত সবাই তুলে ধরতে পারেনা।,Notbully
"যারা বাজে কমেন্ট করছেন তাদেরকে বলি,,, আপনারা কেনো নিজের মুখ নষ্ঠ করছেন???? কোন কুলাঙ্গার যদি পরকাল না মানে তাতে তো কারো কোন ক্ষতি হবে না,,,,মৃত্যুর পরে বাম্বু গেলে নিজেই টের পাবে,,,কি যে মজা স্টাইল এমনিতেই ঢুকে যাবে,,,,ধন্যবাদ",Notbully
অস্থির হইছে। কিন্তু ডিমান্ডিং হয় নাই। এই পোজটা ক্লিভেজ ডিমান্ড করে।,Notbully
বরিষায় পুর্নিমার দেখা পাওয়া দুস্কর তাই ব্যাকাপে আছি,Notbully
"কেউ যদি অবিশ্বাসী হন, আল্লাহ তায়ালা তার শাস্তি বিধান করবেন। ধর্ষকামী মোল্লারা ক্ষেপেছেন কেন? সুন্দরী মেয়েটাকে নাগালের মধ্যে না পাওয়ায় আক্ষেপে গালাগাল করেই মনের সুখ মিটিয়ে নিচ্ছেন নাকি!",Notbully
আমার মনে হয় বড় অংশ ভুট দিতে যাবে না বললে ভাল হত,Notbully
হবিগঞ্জ জেলা বিএনপি র ব্যর্থ আহবায়ক কমিটি বাতিল করে কাউন্সিল চাই।,Notbully
অন্য কারো তবে শাহরিয়ার কবিরের নয় সেটা আমি ১০০% কনফার্ম।,Notbully
"ধন্যবাদ আপনাদের!! দারুন কিছু মুহুর্ত উপহার দিলেন!! কনটেন্ট এর এতো বৈচিত্রতার মাঝে কখনোই টানা এতক্খন specific কোন একটাতে নীরবচ্ছিন্ন ভাবে সেঁটে থাকিনি, এখানে যেভাবে শেষঅব্দি লেগে ছিলাম!!",Notbully
দৌড়টা ভালো ছিল,Notbully
করে সাবসকারইব করছি সুধু হাসার জন্য....মানদের নাতি।,Notbully
এক পায়ে নুপুর,Notbully
আলহামদুলিল্লাহ! ঈদ মোবারক!,Notbully
সব দেখা শেষ। :),Notbully
আল্লাহ দাদিকে বেহেশত নসিব করুন,Notbully
অনেক সুন্দর হয়েছে,Notbully
কোনটা ছেড়ে কোনটা রাখি...। অসাধারণ ........অসাধারণ ..............।।তিশার তুলনা আমার কাছে শুধুই তিশা...............।,Notbully
টেক কেয়ার,Notbully
নাইস কাপল,Notbully
হঠাৎ গর্ত থিকা বের হওনের মাজেজা কি? টাকায় টান পড়ছে নি?,Notbully
ঐ যারা কমেন্ট করতেছেন ধীরে সূস্থে করেন।আর বানান যেনো ভুল না হয়। আপনার প্রতিটা কমেন্ট অনেক মূল্যবান।,Notbully
রিয়েল হিরো,Notbully
